BAT 22.42 -24.85 245 S2B-PH-SM4-TB(LF)(SN) JST-PH-2-SMT-RA
R30 -21.80 -8.15   0 100K/1% 0402
R31 -13.90 -23.80 270 10K/1% 0402
R32 -17.65 -3.00 180 10K/1% 0402
R33 -12.95 19.70 180 10K/1% 0402
R34 -15.65  7.15  90 2,2K/1% 0402
R35 -7.70 10.25  90 10K/1% 0402
R36 -7.70 12.15  90 10K/1% 0402
R37 -12.60 -5.10 180  0402
R38 -12.40  7.10 270 1K/5% 0402
R39 -13.35  7.10 270 1K/5% 0402
R40 13.40  0.15 270 10K/1% 0402
R41 14.40  0.15  90 1M/1% 0402
R42 18.75  1.05  90 100K/1% 0402
R43 18.75 -0.85  90 100K/1% 0402
R44 -9.20 11.80 180 0R 0402
R45  8.50 11.25   0 100R/1% 0402
R46 -4.79 11.59 180 10R/1% R0603
R47 -4.79 12.84 180 10R/1% R0603
R48 -12.75 -26.45 270 100K/1% 0402
R49 15.05 -23.55 270 390k/1% 0402
SERIAL 22.01  7.62 115 1125S-SMT-XP 1125S-SMT-XP
SPK1 25.73 -13.85 335 PKMCS0909E4000-R1 PKMCS
TAST_A -28.00 -2.90 135 PTS645S blue PTS645S
TAST_B 28.00 -2.90 225 PTS645S red PTS645S
TAST_RESET  8.05 19.20  90 PTS810SJ PTS810
TP1 -9.60 20.90 180 PTR1B1,27 B1,27
TP4 -11.60 20.90 180 PTR1B1,27 B1,27
TP5 15.70 -3.60 180 PTR1B1,27 B1,27
TP6 -14.55 10.10   0 PTR1B1,27 B1,27
TP7 -11.00  7.05   0 PTR1B1,27 B1,27
TP8 -10.35  3.00   0 PTR1B1,27 B1,27
TP9 -12.65  8.90   0 PTR1B1,27 B1,27
TP10 15.35 -21.45   0 PTR1B1,27 B1,27
TP11 -13.60 20.90   0 PTR1B1,27 B1,27
TP15  2.70 14.30  90 PTR1B1,27 B1,27
TP16 10.65 19.10   0 PTR1B1,27 B1,27
U$2 -23.05 -16.28 240 INVERTED_F_ANTENNA DN0007+0_MIRROR
U$5 21.80 -35.70   0 FIDUCIAL FIDUCIAL_1MM
U$6 -12.55 22.65   0 FIDUCIAL FIDUCIAL_1MM
U$7 21.90 18.50   0 FIDUCIAL FIDUCIAL_1MM
U$8 -18.45 -13.85   0 FIDUCIAL FIDUCIAL_1MM
U1 -18.57 -5.70 270 BMX055 BMX055
USB2  0.00 16.18 180 47642-0001 47642-0001
